Day,SNS Source,SNS Target
2021-01-09,4Chan,YouTube
2021-01-09,4Chan,YouTube
2021-01-07,4Chan,YouTube
2020-12-02,4Chan,YouTube
2020-12-02,4Chan,YouTube
2020-12-02,4Chan,YouTube
2021-01-06,4Chan,YouTube
2020-11-04,Gab,YouTube
2020-12-02,4Chan,YouTube
2020-12-02,4Chan,YouTube
2021-01-10,4Chan,YouTube
2021-01-07,4Chan,YouTube
2021-01-07,4Chan,YouTube
2021-01-10,4Chan,YouTube
2021-01-08,4Chan,YouTube
2021-01-08,4Chan,YouTube
2020-12-02,Gab,YouTube
2020-12-02,4Chan,YouTube
2020-12-03,4Chan,YouTube
2020-12-02,4Chan,YouTube
2020-12-05,4Chan,YouTube
2020-12-02,4Chan,YouTube
2020-11-30,4Chan,YouTube
2020-11-30,4Chan,YouTube
2020-12-01,4Chan,YouTube
2020-12-01,4Chan,YouTube
2020-12-02,4Chan,YouTube
2021-01-07,4Chan,YouTube
2021-01-09,4Chan,YouTube
2021-01-09,4Chan,YouTube
2020-12-02,4Chan,YouTube
2020-12-02,4Chan,YouTube
2021-01-08,4Chan,YouTube
2021-01-08,4Chan,YouTube
2020-12-31,4Chan,YouTube
2020-12-05,4Chan,YouTube
2020-12-03,4Chan,YouTube
2020-11-25,4Chan,YouTube
2020-12-05,Gab,YouTube
2021-01-07,4Chan,YouTube
2020-12-02,4Chan,YouTube
2020-12-02,4Chan,YouTube
2020-12-02,4Chan,YouTube
2021-01-07,Gab,YouTube
2020-12-02,4Chan,YouTube
2020-11-30,4Chan,YouTube
2020-11-30,4Chan,YouTube
2020-11-30,4Chan,YouTube
2020-11-30,4Chan,YouTube
2020-11-30,4Chan,YouTube
2020-11-30,4Chan,YouTube
2020-11-30,4Chan,YouTube
2020-12-01,4Chan,YouTube
2020-12-02,4Chan,YouTube
2020-12-02,4Chan,YouTube
2020-12-04,Gab,YouTube
2020-12-05,4Chan,YouTube
2020-12-01,4Chan,YouTube
2020-12-01,4Chan,YouTube
2020-12-02,4Chan,YouTube
2020-12-02,Gab,YouTube
2020-12-04,4Chan,YouTube
2020-11-30,4Chan,YouTube
2021-01-10,YouTube,YouTube
2021-01-09,Gab,Rumble
2021-01-09,Gab,Rumble
2021-01-09,Gab,Rumble
2020-11-18,Rumble,Rumble
2020-11-08,FB,FB
2020-11-06,TG,4Chan
2020-11-30,Gab,YouTube
2020-12-02,4Chan,YouTube
2020-12-02,4Chan,YouTube
2021-01-07,4Chan,YouTube
2020-12-02,4Chan,YouTube
2021-01-07,4Chan,YouTube
2020-11-30,Gab,YouTube
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-03,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-02,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,Gab,4Chan
2021-01-01,Gab,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
2021-01-01,4Chan,4Chan
