Day,Source,Target,SNS Source,SNS Target
2020-11-07,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-07,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-07,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-07,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-07,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-04,Gab__30,Bitchute__20,Gab,Bitchute
2020-11-07,4Chan__1,Bitchute__76,4Chan,Bitchute
2020-11-07,Bitchute__26,Bitchute__76,Bitchute,Bitchute
2020-11-07,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-07,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-07,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-07,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-06,TG__159,Bitchute__26,TG,Bitchute
2020-11-06,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-05,VK__212,TG__197,VK,TG
2020-11-04,Gab__422,Bitchute__65,Gab,Bitchute
2020-11-07,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-07,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-06,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-06,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-05,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-05,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-04,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-04,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-04,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-04,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-04,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-04,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-04,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-04,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-04,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-04,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-04,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-04,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-06,Gab__93,4Chan__1,Gab,4Chan
2020-11-07,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-07,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-07,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,Bitchute__60,4Chan,Bitchute
2020-11-05,4Chan__1,Bitchute__34,4Chan,Bitchute
2020-11-07,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-07,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-07,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-06,Gab__30,Bitchute__43,Gab,Bitchute
2020-11-07,Gab__335,Bitchute__43,Gab,Bitchute
2020-11-07,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-07,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-07,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-05,4Chan__1,Bitchute__32,4Chan,Bitchute
2020-11-06,Gab__335,Bitchute__32,Gab,Bitchute
2020-11-05,YouTube__19,Bitchute__32,YouTube,Bitchute
2020-11-04,Gab__30,Bitchute__7,Gab,Bitchute
2020-11-07,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-07,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-07,Bitchute__7,Bitchute__7,Bitchute,Bitchute
2020-11-06,Gab__112,Bitchute__5,Gab,Bitchute
2020-11-06,Bitchute__26,Bitchute__5,Bitchute,Bitchute
2020-11-07,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-06,YouTube__12,4Chan__1,YouTube,4Chan
2020-11-06,TG__52,4Chan__1,TG,4Chan
2020-11-05,TG__52,4Chan__1,TG,4Chan
2020-11-05,TG__122,4Chan__1,TG,4Chan
2020-11-05,TG__122,4Chan__1,TG,4Chan
2020-11-06,TG__208,4Chan__1,TG,4Chan
2020-11-05,TG__208,4Chan__1,TG,4Chan
2020-11-06,TG__222,4Chan__1,TG,4Chan
2020-11-05,TG__222,4Chan__1,TG,4Chan
2020-11-06,TG__72,4Chan__1,TG,4Chan
2020-11-05,TG__72,4Chan__1,TG,4Chan
2020-11-06,TG__123,4Chan__1,TG,4Chan
2020-11-05,TG__123,4Chan__1,TG,4Chan
2020-11-06,TG__53,4Chan__1,TG,4Chan
2020-11-06,TG__53,4Chan__1,TG,4Chan
2020-11-06,TG__158,4Chan__1,TG,4Chan
2020-11-05,TG__158,4Chan__1,TG,4Chan
2020-11-07,TG__280,4Chan__1,TG,4Chan
2020-11-07,TG__280,4Chan__1,TG,4Chan
2020-11-06,TG__150,4Chan__1,TG,4Chan
2020-11-05,TG__150,4Chan__1,TG,4Chan
2020-11-06,TG__125,4Chan__1,TG,4Chan
2020-11-05,TG__125,4Chan__1,TG,4Chan
2020-11-05,TG__147,4Chan__1,TG,4Chan
2020-11-04,TG__147,4Chan__1,TG,4Chan
2020-11-06,TG__218,4Chan__1,TG,4Chan
2020-11-05,TG__218,4Chan__1,TG,4Chan
2020-11-06,TG__159,4Chan__1,TG,4Chan
2020-11-06,TG__215,4Chan__1,TG,4Chan
2020-11-05,TG__215,4Chan__1,TG,4Chan
2020-11-06,TG__73,4Chan__1,TG,4Chan
2020-11-05,TG__73,4Chan__1,TG,4Chan
2020-11-06,TG__74,4Chan__1,TG,4Chan
2020-11-05,TG__74,4Chan__1,TG,4Chan
2020-11-05,TG__74,4Chan__1,TG,4Chan
2020-11-04,TG__74,4Chan__1,TG,4Chan
2020-11-06,TG__68,4Chan__1,TG,4Chan
2020-11-05,TG__68,4Chan__1,TG,4Chan
2020-11-06,TG__199,4Chan__1,TG,4Chan
2020-11-05,TG__199,4Chan__1,TG,4Chan
2020-11-06,TG__146,4Chan__1,TG,4Chan
2020-11-05,TG__146,4Chan__1,TG,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-06,Gab__335,4Chan__1,Gab,4Chan
2020-11-06,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,Gab__55,4Chan__1,Gab,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,Gab__335,4Chan__1,Gab,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,Gab__55,4Chan__1,Gab,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-04,4Chan__1,4Chan__1,4Chan,4Chan
