Day,Source,Target,SNS Source,SNS Target
2020-11-03,TG__500,Bitchute__29,TG,Bitchute
2020-11-03,4Chan__1,Bitchute__33,4Chan,Bitchute
2020-11-02,Bitchute__47,Bitchute__6,Bitchute,Bitchute
2020-11-03,4Chan__1,Bitchute__68,4Chan,Bitchute
2020-11-03,4Chan__1,Bitchute__68,4Chan,Bitchute
2020-11-03,4Chan__1,Bitchute__154,4Chan,Bitchute
2020-11-03,4Chan__1,Bitchute__154,4Chan,Bitchute
2020-11-03,4Chan__1,Bitchute__154,4Chan,Bitchute
2020-11-03,4Chan__1,Bitchute__154,4Chan,Bitchute
2020-11-03,4Chan__1,Bitchute__154,4Chan,Bitchute
2020-11-03,4Chan__1,Bitchute__154,4Chan,Bitchute
2020-11-03,4Chan__1,Bitchute__154,4Chan,Bitchute
2020-11-03,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-03,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-03,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-03,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-03,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-03,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-03,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-03,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-03,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-03,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-03,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-03,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-03,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-03,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-03,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-03,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-03,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-03,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-02,Twitter__52,4Chan__1,Twitter,4Chan
2020-11-02,Twitter__52,4Chan__1,Twitter,4Chan
